State,County FIPS,County Name, Solar , Wind , Hydroelectric , Low-Impact Hydroelectric , Natural Gas , Coal , Oil & Other FF , Other , Traditional TDS , Storage , Smart Grid , Micro Grid , Other Grid Mod , Coal .1, Petroleum , Natural Gas .1, Woody Biomass , Corn Ethanol , Other Clean Fuels , Other .1, ENERGY STAR & Efficient Lighting , Traditional HVAC , High Efficiency HVAC & Renewable H&C , Advanced Materials & Insulation ,Other, MV ,state_id,state_abbr,county_state_name,county_id,county_name,latitude,longitude,population,population_cohort,employment,employment_cohort,doe_climate_zone,cohort,residential_electricity_consumption,residential_electricity_expenditures,residential_electricity_utility_customers,residential_gas_consumption,residential_gas_expenditures,residential_gas_utility_customers,occuped_housing_units,commercial_electricity_consumption,commercial_electricity_expenditures,commercial_electricity_utility_customers,commercial_gas_consumption,commercial_gas_expenditures,commercial_gas_utility_customers,road_gas_consumption,road_diesel_consumption,road_miles_traveled,industry_electricity_consumption,industry_electricity_expenditures,industry_gas_consumption,residential_electricity_ghg,residential_gas_ghg,commercial_electricity_ghg,commercial_gas_ghg,industry_electricity_ghg,industry_gas_ghg,road_gas_ghg,road_diesel_ghg,egrid_primary_subregion,CO2 equivalent total output emission rate (mton/MWh),CO2 equivalent total output emission rate (mton/Mcf),CO2 equivalent total output emission rate (mton/gallon),CO2 equivalent total output emission rate (mton/gallon).1
AL,1021,Chilton County,9,3,47,12,17,2,8,3,76,6,5,8,1,5,4,8,27,8,8,8,10,27,16,65,11,743,1.0,AL,"Chilton County, AL",1021.0,Chilton County,32.854051,-86.726607,43817.0,7.0,15155.0,4.0,3.0,30704.0,265901.0,33633.0,18757.0,137267.0,1810.0,2461.0,16619.0,103161.0,11954.0,2454.0,133447.0,1321.0,503.0,27667822.0,15302190.0,842746706.0,62094.0,3752.0,49720.0,132083.0,7547.0,51244.0,7337.0,30845.0,2734.0,298688.0,193653.0,SRSO,0.496737217,0.054980794,0.01079549,0.012655217
AL,1023,Choctaw County,5,4,4,3,1,1,1,6,19,9,7,6,7,3,100,5,52,9,3,2,8,3,6,6,1,186,1.0,AL,"Choctaw County, AL",1023.0,Choctaw County,31.990997,-88.248908,13287.0,4.0,4571.0,1.0,3.0,30401.0,84560.0,10524.0,7052.0,30309.0,461.0,307.0,5562.0,34566.0,3996.0,1008.0,61517.0,657.0,151.0,8539258.0,2811190.0,233453773.0,29610.0,1789.0,6002774.0,42004.0,1666.0,17170.0,3382.0,14708.0,330037.0,92185.0,35576.0,SRSO,0.496737217,0.054980794,0.01079549,0.012655217
AL,1025,Clarke County,1,6,2,7,8,9,5,7,121,8,8,9,4,7,15,1,69,1,7,9,1,4,7,18,6,80,1.0,AL,"Clarke County, AL",1025.0,Clarke County,31.685521,-87.818624,24847.0,5.0,13550.0,4.0,3.0,30504.0,143136.0,17997.0,12260.0,62871.0,1137.0,2478.0,9554.0,90186.0,10445.0,1874.0,34743.0,607.0,160.0,14657953.0,4548839.0,394083757.0,105690.0,6387.0,3681439.0,71101.0,3457.0,44799.0,1910.0,52500.0,202408.0,158240.0,57567.0,SRSO,0.496737217,0.054980794,0.01079549,0.012655217
AL,1027,Clay County,3,6,25,4,15,8,1,7,29,2,2,5,7,4,3,5,11,4,9,6,2,7,3,7,9,25,1.0,AL,"Clay County, AL",1027.0,Clay County,33.2704,-85.863525,13483.0,4.0,6496.0,2.0,3.0,30402.0,80064.0,10113.0,6569.0,69581.0,917.0,2858.0,5363.0,28316.0,3280.0,817.0,105003.0,980.0,137.0,7052659.0,2304054.0,191713537.0,222069.0,13419.0,490485.0,39771.0,3826.0,14065.0,5773.0,110310.0,26967.0,76137.0,29158.0,SRSO,0.496737217,0.054980794,0.01079549,0.012655217
AL,1029,Cleburne County,5,2,5,8,2,9,9,1,236,1,7,6,2,2,39,130,2,11,28,7,2,7,4,6,6,57,1.0,AL,"Cleburne County, AL",1029.0,Cleburne County,33.671964,-85.516126,14991.0,4.0,2803.0,1.0,3.0,30401.0,86909.0,10996.0,6514.0,40028.0,528.0,533.0,5834.0,25472.0,2952.0,796.0,34690.0,343.0,154.0,16960160.0,11023083.0,535814689.0,40246.0,2432.0,92408.0,43171.0,2201.0,12653.0,1907.0,19992.0,5081.0,183093.0,139500.0,SRSO,0.496737217,0.054980794,0.01079549,0.012655217
AL,1031,Coffee County,1,4,8,1,5,2,5,8,133,2,7,8,6,1,5,2,11,2,9,9,11,26,15,69,12,614,1.0,AL,"Coffee County, AL",1031.0,Coffee County,31.402258,-85.989602,50991.0,7.0,26771.0,6.0,3.0,30706.0,304293.0,39400.0,22264.0,68520.0,1208.0,1935.0,19375.0,168078.0,19797.0,3020.0,134691.0,1808.0,581.0,20751822.0,5904859.0,556804968.0,233129.0,14087.0,425063.0,151153.0,3767.0,83490.0,7405.0,115804.0,23370.0,224026.0,74727.0,SRSO,0.496737217,0.054980794,0.01079549,0.012655217
AL,1033,Colbert County,17,13,20,6,43,1,7,4,328,10,2,1,1,8,131,8,9,6,7,2,28,62,38,188,29,2166,1.0,AL,"Colbert County, AL",1033.0,Colbert County,34.703112,-87.801457,54377.0,7.0,44941.0,7.0,3.0,30707.0,344526.0,35739.0,25472.0,505550.0,6630.0,22279.0,22105.0,409476.0,44790.0,6774.0,524148.0,5189.0,2293.0,29300031.0,8683198.0,784493297.0,882642.0,53336.0,13205283.0,186379.0,27796.0,221515.0,28818.0,477484.0,726037.0,316308.0,109888.0,SRTV,0.540971056,0.054980794,0.01079549,0.012655217
AL,1035,Conecuh County,6,2,4,7,3,7,3,1,24,3,4,5,9,9,59,10,37,4,6,3,7,5,2,19,8,145,1.0,AL,"Conecuh County, AL",1035.0,Conecuh County,31.430926,-86.988722,12697.0,4.0,4823.0,1.0,3.0,30401.0,74379.0,9328.0,6871.0,34493.0,606.0,3768.0,5090.0,29795.0,3362.0,547.0,22855.0,302.0,356.0,17957563.0,10714405.0,551167087.0,82410.0,4980.0,155690.0,36947.0,1896.0,14800.0,1257.0,40936.0,8560.0,193861.0,135593.0,SRSO,0.496737217,0.054980794,0.01079549,0.012655217
AL,1037,Coosa County,9,7,5,4,5,8,8,2,6,6,6,5,8,248,9,2,11,7,2,1,3,5,9,2,3,13,1.0,AL,"Coosa County, AL",1037.0,Coosa County,32.931445,-86.243482,10864.0,3.0,1725.0,1.0,3.0,30301.0,64136.0,8112.0,6284.0,36064.0,475.0,569.0,4206.0,15854.0,1837.0,347.0,1.0,0.0,24.0,8903759.0,3184558.0,243656679.0,16230.0,981.0,13272.0,31859.0,1983.0,7875.0,0.0,8062.0,730.0,96120.0,40301.0,SRSO,0.496737217,0.054980794,0.01079549,0.012655217
AL,1039,Covington County,68,4,1,3,793,7,6,26,238,6,1,9,6,6,4,8,16,6,4,8,3,20,13,57,11,533,1.0,AL,"Covington County, AL",1039.0,Covington County,31.243987,-86.448721,37729.0,6.0,19928.0,5.0,3.0,30605.0,209762.0,29372.0,18292.0,74744.0,1320.0,3919.0,15179.0,117544.0,14991.0,2294.0,103178.0,1385.0,428.0,21650150.0,6527524.0,574180943.0,746851.0,45130.0,3910886.0,104197.0,4109.0,58389.0,5673.0,370989.0,215024.0,233724.0,82607.0,SRSO,0.496737217,0.054980794,0.01079549,0.012655217
AL,1041,Crenshaw County,7,4,9,8,8,2,6,2,50,1,9,6,7,5,6,1,26,4,8,5,11,26,14,65,11,617,1.0,AL,"Crenshaw County, AL",1041.0,Crenshaw County,31.732826,-86.319222,13896.0,4.0,6642.0,2.0,3.0,30402.0,76217.0,10436.0,6524.0,25154.0,413.0,1141.0,5426.0,24504.0,3038.0,814.0,29715.0,385.0,157.0,8387049.0,2801480.0,227450495.0,43719.0,2642.0,5247.0,37860.0,1383.0,12172.0,1634.0,21717.0,289.0,90542.0,35453.0,SRSO,0.496737217,0.054980794,0.01079549,0.012655217
AL,1043,Cullman County,25,12,8,4,9,8,2,8,280,8,1,1,8,55,14,8,13,4,7,3,30,61,47,179,31,1890,1.0,AL,"Cullman County, AL",1043.0,Cullman County,34.131923,-86.869267,81316.0,8.0,50511.0,7.0,3.0,30807.0,489423.0,59294.0,36179.0,508872.0,6785.0,12031.0,31081.0,398736.0,46647.0,9139.0,456611.0,4890.0,1755.0,42561339.0,19756817.0,1240689479.0,630151.0,38078.0,2656832.0,264764.0,27978.0,215705.0,25105.0,340894.0,146075.0,459470.0,250027.0,SRTV,0.540971056,0.054980794,0.01079549,0.012655217
AL,1045,Dale County,13,3,8,8,8,8,5,4,167,6,1,8,7,9,6,9,12,7,2,2,17,34,21,102,18,327,1.0,AL,"Dale County, AL",1045.0,Dale County,31.430654,-85.609476,49607.0,7.0,18785.0,5.0,3.0,30705.0,284461.0,35766.0,22242.0,44375.0,782.0,2189.0,18794.0,134170.0,15559.0,2534.0,112879.0,1515.0,487.0,26347845.0,6946465.0,700021934.0,45370.0,2742.0,73275.0,141302.0,2440.0,66647.0,6206.0,22537.0,4029.0,284438.0,87909.0,SRSO,0.496737217,0.054980794,0.01079549,0.012655217
AL,1047,Dallas County,1,6,6,9,5,3,7,3,73,8,6,2,6,7,1,8,5,7,5,5,8,21,11,52,2,481,1.0,AL,"Dallas County, AL",1047.0,Dallas County,32.33354,-87.114356,41426.0,7.0,20927.0,5.0,3.0,30705.0,235731.0,29854.0,19713.0,355255.0,4691.0,8356.0,16099.0,157387.0,18241.0,3001.0,166776.0,1656.0,582.0,21747546.0,6469017.0,586211049.0,240398.0,14527.0,6914161.0,117096.0,19532.0,78180.0,9169.0,119414.0,380146.0,234775.0,81867.0,SRSO,0.496737217,0.054980794,0.01079549,0.012655217
AL,1049,DeKalb County,11,17,2,7,1,1,3,13,145,2,3,3,1,14,12,1,5,4,3,18,32,80,49,233,35,1293,1.0,AL,"DeKalb County, AL",1049.0,DeKalb County,34.460929,-85.803992,70937.0,8.0,35408.0,6.0,3.0,30806.0,358945.0,40409.0,30256.0,144307.0,2289.0,3846.0,24811.0,286009.0,33000.0,7687.0,451556.0,4703.0,1139.0,37906729.0,14576499.0,1056419466.0,440418.0,26613.0,633213.0,194179.0,7934.0,154723.0,24827.0,238253.0,34815.0,409222.0,184469.0,SRTV,0.540971056,0.054980794,0.01079549,0.012655217
AL,1051,Elmore County,13,6,42,12,17,7,5,8,75,9,6,1,5,6,4,12,28,5,7,6,18,40,24,127,20,251,1.0,AL,"Elmore County, AL",1051.0,Elmore County,32.597229,-86.142735,80957.0,8.0,27615.0,6.0,3.0,30806.0,450258.0,56951.0,32451.0,320818.0,4248.0,6749.0,28890.0,225316.0,26109.0,4144.0,229522.0,2279.0,801.0,34815173.0,12365762.0,967232582.0,120651.0,7291.0,121868.0,223660.0,17639.0,111923.0,12619.0,59932.0,6700.0,375847.0,156491.0,SRSO,0.496737217,0.054980794,0.01079549,0.012655217
AL,1053,Escambia County,3,3,6,6,6,8,6,2,215,2,8,3,2,8,253,62,30,7,6,2,8,23,13,53,10,348,1.0,AL,"Escambia County, AL",1053.0,Escambia County,31.122287,-87.16841,37875.0,6.0,20073.0,5.0,3.0,30605.0,211270.0,26700.0,15992.0,62563.0,1277.0,2372.0,13536.0,150254.0,17370.0,2719.0,77781.0,1176.0,401.0,25841013.0,12254232.0,746532061.0,338962.0,20483.0,10284741.0,104946.0,3440.0,74637.0,4276.0,168375.0,565463.0,278966.0,155080.0,SRSO,0.496737217,0.054980794,0.01079549,0.012655217
AL,1055,Etowah County,18,14,1,9,89,9,3,5,97,163,2,5,9,5,3,1,1,4,3,4,29,64,40,183,32,1152,1.0,AL,"Etowah County, AL",1055.0,Etowah County,34.047641,-86.034263,103363.0,9.0,61521.0,8.0,3.0,30908.0,566897.0,71758.0,46262.0,884896.0,11667.0,21357.0,39522.0,407684.0,47254.0,7618.0,532820.0,5276.0,1496.0,50400132.0,15562595.0,1357473152.0,583517.0,35260.0,1260490.0,306675.0,48652.0,220545.0,29295.0,315666.0,69303.0,544094.0,196948.0,SRTV,0.540971056,0.054980794,0.01079549,0.012655217
AL,1057,Fayette County,7,5,3,9,5,4,9,2,23,3,9,1,5,1,18,1,40,6,2,8,9,3,3,3,9,181,1.0,AL,"Fayette County, AL",1057.0,Fayette County,33.716157,-87.764292,16783.0,4.0,6292.0,2.0,3.0,30402.0,104504.0,13230.0,8192.0,83498.0,1140.0,2219.0,6850.0,42252.0,4897.0,1057.0,28153.0,282.0,287.0,8268750.0,2646221.0,223147595.0,133556.0,8070.0,170517.0,51911.0,4591.0,20988.0,1548.0,66342.0,9375.0,89265.0,33489.0,SRSO,0.496737217,0.054980794,0.01079549,0.012655217
AL,1059,Franklin County,5,10,9,9,5,8,5,6,134,5,1,5,9,7,7,3,11,8,2,4,13,31,19,86,14,1288,1.0,AL,"Franklin County, AL",1059.0,Franklin County,34.441989,-87.842814,31573.0,6.0,19247.0,5.0,3.0,30605.0,168207.0,20663.0,13683.0,195225.0,2694.0,7434.0,11697.0,219480.0,22354.0,2848.0,98318.0,1024.0,485.0,14583721.0,4510354.0,393904861.0,246756.0,14911.0,335508.0,90995.0,10734.0,118732.0,5406.0,133488.0,18447.0,157438.0,57080.0,SRTV,0.540971056,0.054980794,0.01079549,0.012655217
AL,1061,Geneva County,6,5,3,7,7,2,2,7,60,7,8,3,1,4,2,8,7,4,1,12,12,30,17,80,13,50,1.0,AL,"Geneva County, AL",1061.0,Geneva County,31.092393,-85.821011,26765.0,6.0,7761.0,3.0,3.0,30603.0,171557.0,21723.0,12313.0,29167.0,453.0,1177.0,10657.0,58075.0,6734.0,1600.0,32464.0,439.0,270.0,13452734.0,4069698.0,356501944.0,71850.0,4342.0,45469.0,85219.0,1604.0,28848.0,1785.0,35691.0,2500.0,145229.0,51503.0,SRSO,0.496737217,0.054980794,0.01079549,0.012655217
AL,1063,Greene County,8,1,5,5,9,5,5,1,19,1,4,7,3,8,24,4,6,7,1,9,8,3,8,1,7,13,1.0,AL,"Greene County, AL",1063.0,Greene County,32.844497,-87.9642,8587.0,3.0,2580.0,1.0,3.0,30301.0,47521.0,6005.0,4865.0,38363.0,506.0,561.0,3107.0,17463.0,2023.0,335.0,20677.0,205.0,65.0,14916669.0,9398367.0,469094742.0,10029.0,606.0,26040.0,23606.0,2109.0,8675.0,1137.0,4982.0,1432.0,161033.0,118938.0,SRSO,0.496737217,0.054980794,0.01079549,0.012655217
AL,1065,Hale County,2,7,7,7,3,2,6,3,22,7,6,6,5,8,4,2,18,9,7,6,9,10,7,26,1,29,1.0,AL,"Hale County, AL",1065.0,Hale County,32.752796,-87.623061,15159.0,4.0,3626.0,1.0,3.0,30401.0,94024.0,11882.0,7455.0,89229.0,1176.0,1411.0,5948.0,29500.0,3417.0,826.0,37613.0,372.0,160.0,7675642.0,2536711.0,209735830.0,204505.0,12358.0,258914.0,46705.0,4906.0,14654.0,2068.0,101585.0,14235.0,82862.0,32103.0,SRSO,0.496737217,0.054980794,0.01079549,0.012655217
AL,1067,Henry County,8,7,6,3,2,4,3,8,50,1,3,9,8,5,8,2,22,7,8,6,4,8,1,13,2,27,1.0,AL,"Henry County, AL",1067.0,Henry County,31.516978,-85.239971,17187.0,5.0,4967.0,1.0,3.0,30501.0,108727.0,13752.0,8716.0,14250.0,251.0,519.0,6831.0,35162.0,4077.0,820.0,33418.0,449.0,158.0,12448831.0,3788176.0,331753078.0,32197.0,1946.0,10098.0,54009.0,783.0,17466.0,1837.0,15994.0,555.0,134391.0,47940.0,SRSO,0.496737217,0.054980794,0.01079549,0.012655217
AL,1069,Houston County,29,29,2,8,9,5,10,1095,143,9,2,3,7,5,35,1,8,2,2,24,56,138,80,373,61,779,1.0,AL,"Houston County, AL",1069.0,Houston County,31.158193,-85.296398,103891.0,9.0,86388.0,9.0,3.0,30909.0,602675.0,72556.0,45173.0,83532.0,1472.0,2877.0,39363.0,600750.0,64183.0,7919.0,449642.0,6036.0,1523.0,48926011.0,11856988.0,1282976272.0,672549.0,40640.0,1260783.0,299371.0,4593.0,298415.0,24722.0,334080.0,69319.0,528180.0,150053.0,SRSO,0.496737217,0.054980794,0.01079549,0.012655217
AL,1071,Jackson County,9,8,3,2,9,2,10,7,217,2,2,1,6,8,9,9,3,4,8,8,19,46,26,67,20,458,1.0,AL,"Jackson County, AL",1071.0,Jackson County,34.764114,-85.980056,52608.0,7.0,26437.0,6.0,3.0,30706.0,292690.0,31846.0,26064.0,210564.0,2741.0,4708.0,19945.0,292305.0,31994.0,5807.0,158744.0,1234.0,196.0,28192247.0,7841565.0,749542557.0,815874.0,49301.0,4595260.0,158337.0,11577.0,158128.0,8728.0,441364.0,252651.0,304349.0,99237.0,SRTV,0.540971056,0.054980794,0.01079549,0.012655217
AL,1073,Jefferson County,184,273,15,15,62,764,30,41,3035,70,26,56,75,1756,236,138,4,6,17,212,472,1180,611,2753,487,6162,1.0,AL,"Jefferson County, AL",1073.0,Jefferson County,33.553444,-86.896536,659096.0,14.0,625483.0,13.0,3.0,31413.0,3562272.0,450040.0,297284.0,7410723.0,97709.0,186697.0,261773.0,4842168.0,559735.0,57958.0,5507622.0,54530.0,12279.0,362778847.0,128173761.0,10150915368.0,3518732.0,212627.0,10367671.0,1769513.0,407447.0,2405285.0,302813.0,1747885.0,570023.0,3916375.0,1622067.0,SRSO,0.496737217,0.054980794,0.01079549,0.012655217
AL,1075,Lamar County,8,2,6,7,2,7,6,2,18,5,4,4,8,2,2,1,16,9,6,3,4,6,1,15,4,43,1.0,AL,"Lamar County, AL",1075.0,Lamar County,33.787085,-88.087431,14066.0,4.0,6266.0,2.0,3.0,30402.0,86619.0,10967.0,7136.0,73593.0,1136.0,2113.0,6010.0,36403.0,4220.0,1014.0,7051.0,74.0,47.0,7755797.0,2434513.0,208328485.0,56282.0,3401.0,439111.0,43027.0,4046.0,18083.0,388.0,27958.0,24143.0,83728.0,30809.0,SRSO,0.496737217,0.054980794,0.01079549,0.012655217
AL,1077,Lauderdale County,14,17,2,7,6,8,2,6,229,3,3,7,9,7,13,6,26,3,4,6,29,85,40,179,30,515,1.0,AL,"Lauderdale County, AL",1077.0,Lauderdale County,34.904122,-87.650997,92641.0,9.0,51119.0,7.0,3.0,30907.0,606098.0,60829.0,42361.0,474337.0,6278.0,17280.0,38361.0,452004.0,47608.0,8976.0,395092.0,3955.0,2001.0,36822385.0,10050201.0,976863610.0,174561.0,10548.0,733896.0,327882.0,26079.0,244521.0,21722.0,94432.0,40350.0,397516.0,127187.0,SRTV,0.540971056,0.054980794,0.01079549,0.012655217
AL,1079,Lawrence County,2,1,8,4,6,8,9,8,146,7,1,2,6,1,1,1,1,1,1,3,2,13,6,30,9,60,1.0,AL,"Lawrence County, AL",1079.0,Lawrence County,34.529776,-87.321865,33433.0,6.0,6106.0,2.0,3.0,30602.0,222687.0,25391.0,14798.0,116505.0,1743.0,3203.0,13321.0,78750.0,9365.0,2808.0,56481.0,440.0,307.0,17542431.0,6126485.0,477882808.0,80523.0,4866.0,52962.0,120467.0,6406.0,42601.0,3105.0,43560.0,2912.0,189379.0,77532.0,SRTV,0.540971056,0.054980794,0.01079549,0.012655217
AL,1081,Lee County,21,23,5,1,42,6,5,6,274,11,8,9,8,17,15,10,16,8,14,14,60,164,85,379,73,2022,1.0,AL,"Lee County, AL",1081.0,Lee County,32.604064,-85.353048,153947.0,10.0,87890.0,9.0,3.0,31009.0,783577.0,99080.0,63984.0,560758.0,7440.0,13278.0,57901.0,494746.0,57315.0,6792.0,472494.0,4736.0,1317.0,66960906.0,20533109.0,1822394284.0,383226.0,23157.0,1000410.0,389232.0,30831.0,245759.0,25978.0,190363.0,55003.0,722876.0,259851.0,SRSO,0.496737217,0.054980794,0.01079549,0.012655217
AL,1083,Limestone County,22,26,7,8,3,3,2,1839,541,98,58,11,15,9,24,7,3,6,4,4,24,50,36,159,24,1941,1.0,AL,"Limestone County, AL",1083.0,Limestone County,34.810239,-86.981399,90257.0,9.0,33875.0,6.0,3.0,30906.0,532880.0,51872.0,35146.0,252225.0,3182.0,8784.0,32073.0,376746.0,37610.0,6103.0,288075.0,2738.0,1075.0,53721958.0,20309676.0,1515287220.0,466706.0,28202.0,782238.0,288273.0,13868.0,203809.0,15839.0,252474.0,43008.0,579955.0,257023.0,SRTV,0.540971056,0.054980794,0.01079549,0.012655217
